W3181,,Genome count,PMID,Product Descriptor,GENE,Alias,Role,Regulated by,Essentiality Class in MR-1,FIG Function,FIG Subsystem,CAZY,family,Merops family,cofactor (organic),cofactor (inorganic,substrate,Transport Family,EC NUMBER,evolution,Genome count,Localization,Group ID
W3181_1646,,22,,membrane protein of unknown protein DUF2919,,,,,Unknown,hypothetical protein,,,,,,,,,,core,1,IM 4 TM,Shw02236
W3181_1647,,22,,cyclic di-GMP hydrolase,,,,,Dispensable,HDIG domain protein,,,,,,,,,,core,1,cyt,Shw02235
W3181_1648,,22,,NAD-dependent enzyme of unknown function YeeZ,yeeZ,,,,Dispensable,Protein yeeZ precursor,,,,,NAD,,,,,core,1,cyt,Shw02234
W3181_1649,,20,,thiol:disulfide interchange protein DsbA family,,,,,Dispensable,thiol:disulfide interchange protein DsbA family,,,,,,,,,5.3.4.1,no Sden Sfri,1,peri,Shw02233
W3181_1650,,21,,putative solute:sodium symporter small subunit,,,Transport,,Unknown,hypothetical protein,,,,,,,,2.A.21,,mtr core,1,IM 2 TM,Shw02232
W3181_1651,,21,,putative solute:sodium symporter large subunit,,,Transport,,Dispensable,Acetate permease ActP (cation/acetate symporter),Pyruvate metabolism II: acetyl-CoA acetogenesis from pyruvate,,,,,,,2.A.21,,no Sden,1,IM 12 TM,Shw02231
W3181_1652,,21,,putative nucleotidyltransferase DUF294,,,cAMP signaling,,Dispensable,Predicted signal-transduction protein containing cAMP-binding and CBS domains,CBSS-342610.3.peg.1536; <br>cAMP signaling in bacteria,,,,,,,,,no Sden,1,cyt,Shw02230
W3181_1653,,21,,exonuclease,,,,,Dispensable,DNA polymerase III epsilon subunit (EC 2.7.7.7),CBSS-228410.1.peg.134; <br>CBSS-342610.3.peg.1536; <br>DNA-replication,,,,,,,,,no Sden,1,cyt,Shw02229
W3181_1654,,22,,3-oxoacyl-(acyl-carrier-protein) synthase III,,,,,Dispensable,3-oxoacyl-[acyl-carrier-protein] synthase III protein 2 (EC 2.3.1.41),,,,,,,,,2.3.1.180,core,1,cyt,Shw02227
W3181_1655,,22,, transcriptional regulator of proline and 4-hydroxyproline utilization HypR,hypR,,Proline 4-hydroxyproline uptake and utilization,,Dispensable,Predicted regulator PutR for proline utilization GntR family,Proline 4-hydroxyproline uptake and utilization,,GntR,,,,,,,core,1,cyt,Shw02226
W3181_1656,,22,,DD-heptose 17-bisphosphate phosphatase GmhB,gmhB,,LOS core oligosaccharide biosynthesis,,Dispensable,D-glycero-D-manno-heptose 17-bisphosphate phosphatase (EC 3.1.1.-),Capsular heptose biosynthesis; <br>LOS core oligosaccharide biosynthesis,,,,,,,,3.1.3.-,core,1,cyt,Shw02225
W3181_1657,,22,,glutaredoxin GrxA,grxA,,Glutaredoxins,,Dispensable,Glutaredoxin 1,Glutaredoxins; <br>Glutathione: Redox cycle,,,,,,,,,core,1,cyt,Shw02137
W3181_1658,,22,,helicase,,,,,Dispensable,Helicase-related protein,,,,,,,,,,core,1,cyt,Shw02136
W3181_1659,,22,,acetyl-coenzyme A synthetase AcsA,acsA,,Pyruvate metabolism II: acetyl-CoA acetogenesis from pyruvate,,Dispensable,Acetyl-coenzyme A synthetase (EC 6.2.1.1),Pyruvate metabolism II: acetyl-CoA acetogenesis from pyruvate,,,,AMP,,,,6.2.1.1,core,1,cyt,Shw02135
W3181_1660,,21,22125499,proline-responsive two component signal transduction system hybrid histidine kinase/resposne regulator PrlS,prlS,,2CP HHK - acetyl-CoA synthase (required acetate growth) - control SO_2648,,Dispensable,Sensor histidine kinase,,,,,ATP,,,2.A.21.9,2.7.13.3,no Sden,1,IM 12 TM,Shw02134
W3181_1661,,7,,methyl accepting sensory transducer with Cache_2 sensory domain,,,Chemotaxis sensor,,,Methyl-accepting chemotaxis protein,,,,,,,,,,,1,IM 2 TM,Shw06221
W3181_1662,,22,,adenosylmethionine--8-amino-7-oxononanoate aminotransferase BioA,bioA,,Cofactor biotin synth,BirA,Unknown,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62),Biotin biosynthesis,,,,pyridoxyl phsophate (PLP),,,,2.6.1.62,core,1,cyt,Shw02133
W3181_1663,,22,,biotin synthase BioB,bioB,,Cofactor biotin synth,BirA,Unknown,Biotin synthase (EC 2.8.1.6),Biotin biosynthesis,,,,SAM,2Fe-2S 4Fe-4S,,,2.8.1.6,core,1,cyt,Shw02132
W3181_1664,,22,,8-amino-7-oxononanoate synthase BioF,bioF,,Cofactor biotin synth,,Dispensable,8-amino-7-oxononanoate synthase (EC 2.3.1.47),Biotin biosynthesis,,,,pyridoxyl phsophate (PLP),,,,2.3.1.47,core,1,cyt,Shw02131
W3181_1665,,22,,SAM-dependent methylase involved in biotin synthesis protein BioC,bioC,,Cofactor biotin synth,,New Essential,Biotin synthesis protein bioC,Biotin biosynthesis,,,,SAM,,,,,core,1,cyt,Shw02130
W3181_1666,,22,,dethiobiotin synthase BioD,bioD,,Cofactor biotin synth,,New Essential,Dethiobiotin synthetase (EC 6.3.3.3),Biotin biosynthesis,,,,ATP,Mg,,,6.3.3.3,core,1,cyt,Shw02129
W3181_1667,,3,,TonB-dependent receptor,,,Omp TonB|cobalt?,,,TonB-dependent receptor,Ton and Tol transport systems,,,,,,,1.B.14,,Sput only,1,OM,Shw04743
W3181_1668,,3,,membrane-anchored chelatase,,,metalloporyphrin salvage,,,CobN-like chelatase BtuS for metalloporphyrine salvage,,,,,,,,,6.6.1.2,Sput only,1,IM 1 TM,Shw04742
W3181_1669,,3,,protein of unknown function DUF2149,,,metalloporyphrin salvage,,,hypothetical protein,,,,,,,,,,Sput only,1,IM 1 TM,Shw04741
W3181_1670,,3,,TonB mediated energy transduction system inner membrane component ExbB,exbB,,metalloporyphrin salvage,,,hypothetical transporter PduT for various metalloporphyrins,,,,,,,,1.A.30.2,,Sput only,1,IM 3 TM,Shw04740
W3181_1671,,8,,outer membrane protein protein of unknown function DUF3187,,,,,Dispensable,hypothetical protein,,,,,,,,,,,1,OM,Shw02128
W3181_1672,,12,,periplasmic glucan biosynthesis protein MdoG,mdoG,,Synthesis of osmoregulated periplasmic glucans,,Dispensable,Glucans biosynthesis protein G precursor,Synthesis of osmoregulated periplasmic glucans,,,,,,,,,,1,peri,Shw02127
W3181_1673,,15,,dipeptidase E PepE,pepE,,,,Dispensable,Alpha-aspartyl dipeptidase Peptidase E (EC 3.4.13.21),Dipeptidases (EC 3.4.13.-),,,,,,,,3.4.13.21,,1,cyt,Shw02126
W3181_1674,,22,16076848,Zn-dependent metalloprotease HtpX,htpX,,Membrane-bound proteolytic system,,Dispensable,Probable protease htpX homolog (EC 3.4.24.-),,,,M48.002,,Zn,,,3.4.24.-,core,1,IM 3 TM,Shw02125
W3181_1675,,20,,periplasmic tetraheme cytochrome c CctA,cctA,,respiration,,Unknown,cytochrome c3,,,,,heme c (4),,,,,mtr core,1,peri,Shw02124
W3181_1676,,22,,transcriptional regulator LuxR family,,,1CP - curli?,,Unknown,Probable csgAB operon transcriptional regulatory protein,,,LuxR,,,,,,,core,1,cyt,Shw02122
W3181_1677,,17,,protein of unknown function DUF3478,,,,,Unknown,Amidases related to nicotinamidase,NAD and NADP cofactor biosynthesis global,,,,,,,,,,1,cyt,Shw02257
W3181_1678,,22,,inner membrane of unknown function DUF307,,,,,Dispensable,hypothetical protein,,,,,,,,,,core,1,IM 4 TM,Shw01590
W3181_1679,,22,,pyridoxal-phosphate dependent eynzyme,,,,,Dispensable,pyridoxal phosphate-dependent deaminase putative,,,,,pyridoxal-phosphate,,,,,core,1,cyt,Shw01591a
W3181_1680,,4,,transcriptional repressor of nicotinamide riboside utilization NrtR,nrtR,,1CP - NAD metabolism,,Dispensable,Nudix-related transcriptional regulator NrtR,NAD and NADP cofactor biosynthesis global,,,,,,,,,,1,cyt,Shw01592
W3181_1681,,4,,ribose phosphate pyrophosphokinase NadR,nadR,prsA,Cofactor synthesis - NAD salvage/recycling of nicotinamide ribose,,Dispensable,Ribose-phosphate pyrophosphokinase (EC 2.7.6.1),A Gammaproteobacteria Cluster Relating to Translation; <br>De Novo Purine Biosynthesis; <br>Pentose phosphate pathway,,,,,,,,2.7.6.1,,1,cyt,Shw01593
W3181_1682,,4,,nicotinamide phosphoribosyltransferase NadV,nadV,ygaD,Cofactor synth - NAD; Nondeamidating salvage/recycling of niacinamide,,Dispensable,Nicotinamide phosphoribosyltransferase (EC 2.4.2.12),NAD and NADP cofactor biosynthesis global,,,,,,,,2.4.2.12,,1,cyt,Shw01594
W3181_1683,,11,,conserved hypothetical protein,,,,,,hypothetical protein,,,,,,,,,,,1,cyt,Shw01595
W3181_1684,,21,,hypothetical protein,,,,,,hypothetical protein,,,,,,,,,,core? (check Sben),1,cyt,Shw01596
W3181_1685,,16,,anti-ECFsigma factor ChrR,chrR,,1CP|sigma antagonist - singlet oxygen stress,,Dispensable,FIG111991: hypothetical protein,,,,,,Zn (2),,,,no obligate marine but Swoo,1,cyt,Shw01597
W3181_1686,,16,,RNA polymerase sigma factor ECF family 11,,,Transcription initiation bacterial sigma factors,,Dispensable,RNA polymerase sigma-70 factor ECF subfamily,,,,,,,,,,no obligate marine but Swoo,1,cyt,Shw01598
W3181_1687,,13,,ATP-dependent protease La (LON) domain protein,,,Proteasome,,Dispensable,Uncharacterized protein similar to the N-terminal domain of Lon protease,Proteasome bacterial,,,,ATP,,,,,,1,cyt,Shw01599
W3181_1688,,12,,SAM-dependent methyltransferase type 11,,,,,Dispensable,methyltransferase putative,,,,,SAM,,,,,,1,cyt,Shw01600
W3181_1689,,22,,chemotaxis signal transduction system response regulator CheV,cheV,,Chemotaxis,,Dispensable,Chemotaxis protein CheV (EC 2.7.3.-),Bacterial Chemotaxis; <br>Flagellar motility,,,,,,,,2.7.3.-,core,1,cyt-IM assoc,Shw01601
W3181_1690,,22,,conserved domain protein,,,,,Unknown,hypothetical protein,,,,,,,,,,core,1,cyt,Shw01602
W3181_1691,,22,,protein of unknown function DUF2570,,,,,Dispensable,hypothetical protein,,,,,,,,,,core,1,cyt,Shw01603
W3181_1692,,22,,membrane-bound lytic transglycosylase MltB_2 family,,,Peptidoglycan biosynthesis,,Dispensable,Membrane-bound lytic murein transglycosylase B,,GH103,,,,,peptidoglycan,,2.4.-.-,core,1,peri,Shw01604
W3181_1693,,22,,peptidyl-prolyl cis-trans isomerase FKBP family,,,Peptidyl-prolyl cis-trans isomerase,,Unknown,FKBP-type peptidyl-prolyl cis-trans isomerase SlyD (EC 5.2.1.8),Peptidyl-prolyl cis-trans isomerase; <br>Potassium homeostasis,,,,,,,,5.2.1.8,core,1,cyt,Shw01605
W3181_1694,,11,,cold-active zinc metallopeptidase M1 family,,,peptidase,,Dispensable,Aminopeptidase N,,,,M01,,,,,,,1,peri,Shw01606
W3181_1695,,21,,protein of unknown function DUF3389,,,,,Dispensable,Phosphotransferase system IIA component,,,,,,,,,,core? (check Sben),1,cyt,Shw01607
W3181_1696,,22,,phospholipase/carboxylesterase family protein,,,,,Dispensable,Phospholipase/carboxylesterase family protein,,,,,,,,,,core,1,cyt,Shw01608
W3181_1697,,22,,bifunctional UDP-sugar hydrolase/5'-nucleotidase UshA,ushA,,Purine conversions,,Dispensable,UDP-sugar hydrolase (EC 3.6.1.45); 5-prime-nucleotidase (EC 3.1.3.5),Purine conversions; <br>pyrimidine conversions,,,,,,,,"3.1.3.5, 3.6.1.45",core,1,LP-IM,Shw01609a
W3181_1698,,22,,dksA-type zinc finger protein,,,,,Dispensable,DksA-type zinc finger protein,,,,,,,,,,core,1,cyt,Shw01611
W3181_1699,,22,,tRNA-dihydrouridine synthase C DusC,dusC,,tRNA modification,,Dispensable,tRNA-dihydrouridine synthase C (EC 1.-.-.-),Murein hydrolase regulation and cell death,,,,,,,,1.3.-.-,core,1,cyt,Shw01612
W3181_1700,,22,,putative periplasmic low complexity protein,,,,,Dispensable,FIG024746: hypothetical protein,CBSS-399599.3.peg.3584,,,,,,,,,core,1,peri,Shw01613
W3181_1701,,22,,protein of unknown function DUF692,,,,,Dispensable,FIG023677: hypothetical protein,CBSS-399599.3.peg.3584,,,,,,,,,core,1,cyt,Shw01614
W3181_1702,,22,,protein of unknown function DUF2063,,,,,Dispensable,FIG005107: hypothetical protein,CBSS-399599.3.peg.3584,,,,,,,,,core,1,cyt,Shw01615
W3181_1703,,22,,conserved hypothetical protein,,,,,Unknown,hypothetical protein,,,,,,,,,,core,1,IM 1 TM,Shw01616
W3181_1704,,22,,protein of unknown function DUF454,,,,,Dispensable Unclear In Ecoli,Hypothetical protein DUF454,,,,,,,,,,core,1,IM 2 TM,Shw01617
W3181_1705,,22,,adenine phosphoribosyltransferase Apt,apt,,Purine conversions,,Expected Essential,Adenine phosphoribosyltransferase (EC 2.4.2.7),Purine conversions; <br>cAMP signaling in bacteria,,,,AMP,diphosphate,,,2.4.2.7,core,1,cyt,Shw01618
W3181_1706,,22,,DNA polymerase III gamma and tau subunits DnaX,dnaX,,DNA-replication,,New Essential,DNA polymerase III subunits gamma and tau (EC 2.7.7.7),DNA-replication; <br>DNA processing cluster,,,,,,,,2.7.7.7,core,1,cyt,Shw01619
W3181_1707,,22,,DNA-binding protein YbaB,ybaB,,DNA processing cluster,,Unknown,FIG000557: hypothetical protein co-occurring with RecR,DNA processing cluster,,,,,,,,,core,1,cyt,Shw01620
W3181_1708,,22,,recombination protein RecR,recR,,DNA-replication,,Dispensable,Recombination protein RecR,DNA-replication; <br>DNA processing cluster; <br>DNA repair bacterial RecFOR pathway,,,,,,,,,core,1,cyt,Shw01621
W3181_1709,,22,,heat shock chaperone HtpG,htpG,,Protein chaperones,,Dispensable,Chaperone protein HtpG,Protein chaperones,,,,ATP,,,,,core,1,cyt,Shw01622
W3181_1710,,22,,heat shock response protein,,,CPO analysis,,Unknown,COG3118: Thioredoxin domain-containing protein EC-YbbN,CPO analysis,,,,,,,,,core,1,cyt,Shw01623
W3181_1711,,22,,adenylate kinase Adk,adk,,Purine conversions,,Expected Essential,Adenylate kinase (EC 2.7.4.3),Purine conversions,,,,ATP; AMP,,,,2.7.4.3,core,1,cyt,Shw01624a
W3181_1712,,19,,ferrochelatase HemH,hemH,,Cofactor synth - heme siroheme,,Expected Essential,Ferrochelatase protoheme ferro-lyase (EC 4.99.1.1),CPO analysis; <br>Experimental tye; <br>Heme and Siroheme Biosynthesis,,,,,2Fe-2S,,,4.99.1.1,,1,cyt,Shw01625
W3181_1713,,22,,inosine-guanosine kinase Gsk,gsk,,Purine conversions,,Dispensable,Inosine-guanosine kinase (EC 2.7.1.73),Purine conversions,,,,,,,,2.7.1.73,core,1,cyt,Shw01626
W3181_1714,,22,,NH(3)-dependent NAD(+) synthetase NadE,nadE,,Cofactor synth - NAD (universal downstream pathway),,Expected Essential,NAD synthetase (EC 6.3.1.5),NAD and NADP cofactor biosynthesis global,,,,,NH3,,,6.3.1.5,core,1,cyt,Shw01627
W3181_1715,,20,,hypothetical protein,,,,,Dispensable,hypothetical protein,,,,,,,,,,no Sama Shal,1,cyt,Shw01628
W3181_1716,,10,,transcriptional regulator LysR family,,,Sensory transduction,,,Transcriptional regulator LysR family,,,LysR,,,,,,,,1,cyt,Shw06606
W3181_1717,,10,,NADH:flavin oxidoreductase/NADH oxidase,,,,,,Xenobiotic flavin oxidoreductase A,,,,,,,,,,,1,cyt,Shw06605
W3181_1718,,22,,putative sulftase with DUF3413 domain YejM,yejM,,Sulfur metabolism,,Dispensable Unclear In Ecoli,FIG001881: hydrolase of alkaline phosphatase superfamily,CBSS-211586.1.peg.1979,,,,,,,,,core,1,IM 5 TM,Shw01729
W3181_1719,,22,,protein of unknown function DUF1414 YejL,yejL,,,,Dispensable,FIG002927: hypothetical protein,CBSS-211586.1.peg.1979,,,,,,,,,core,1,cyt,Shw01730
W3181_1720,,22,,nucleoid-associated protein NdpA,ndpA,,,,Dispensable,Nucleoid-associated protein NdpA,CBSS-211586.1.peg.1979,,,,,,,,,core,1,cyt,Shw01731
W3181_1721,,17,,diheme cytochrome c5 peroxidase CcpA,ccpA,,Protection from Reactive Oxygen Species,,Dispensable,Cytochrome c551 peroxidase (EC 1.11.1.5),Protection from Reactive Oxygen Species,,,,heme c,,,,1.11.1.5,,1,peri,Shw01732
W3181_1722,,22,,queosine biosynthesis protein QueD,queD,,Queuosine Biosynthesis,,Dispensable,NADPH dependent preQ0 reductase,Queuosine-Archaeosine Biosynthesis,,,,,,,,,core,1,cyt,Shw01733
W3181_1723,,22,,periplasmic metalloprotease M23B family,,,peptidase,,Unknown,Peptidase M23/M37 family,,,,M23B,,,,,,core,1,peri,Shw01734
W3181_1724,,21,,conserved hypothetical protein,,,,,Dispensable,hypothetical protein,,,,,,,,,,no Sama,1,cyt,Shw01735
W3181_1725,,22,,protein of unknown function YecM,yecM,,,,Dispensable,Protein yecM,,,,,,,,,,core,1,cyt,Shw01736
W3181_1726,,22,,LD-transpeptidase ErfK/YbiS/YcfS/YnhG family,,,Peptidoglycan biosynthesis,,Dispensable,ErfK/YbiS/YcfS/YnhG family protein,,,,,,,,,,core,1,peri,Shw01737
W3181_1727,,20,,voltage gated ion channel protein,,,Transport,,,Potassium voltage-gated channel subfamily KQT; possible potassium channel VIC family,Potassium homeostasis,,,,,,,1.A.1,,no MR1 Sben,1,IM 5 TM,Shw07186
W3181_1728,,22,,multidrug and toxin efflux protein MATE family,,,Transport,,Dispensable,MATE efflux family protein,,,,,,,,2.A.66.1,,core,1,IM 12 TM,Shw01545
W3181_1729,,22,,protein of unknown function DUF2986,,,,,Unknown,hypothetical protein,,,,,,,,,,core,1,cyt,Shw01546
W3181_1730,,22,,putative RNA-binding protein YqfB,yqfB,,,,Expected Essential,hypothetical protein,,,,,,,,,,core,1,cyt,Shw01547
W3181_1731,,22,,RND superfamily efflux pump permease component 1,,,Transport RND|export,,Dispensable,RND multidrug efflux transporter; Acriflavin resistance protein,Multidrug Resistance Efflux Pumps,,,,,,,2.A.6.2,,core,1,IM 12 TM,Shw01548
W3181_1732,,21,,RND superfamily efflux pump permease component 2,,,Transport RND|export,,Dispensable,RND multidrug efflux transporter; Acriflavin resistance protein,Multidrug Resistance Efflux Pumps,,,,,,,2.A.6.2,,core? (check Sben),1,IM 14 TM,Shw01549
W3181_1733,,22,,RND superfamily efflux pump MFP component,,,Transport RND|export (acrA),,Dispensable,Probable Co/Zn/Cd efflux system membrane fusion protein,Cobalt-zinc-cadmium resistance,,,,,,,8.A.1,,core,1,LP-IM,Shw01550
W3181_1734,,22,,citrate synthase GltA,gltA,,Glyoxylate bypass,,Dispensable,Citrate synthase (si) (EC 2.3.3.1),Glyoxylate bypass; <br>Serine-glyoxylate cycle; <br>TCA Cycle,,,,,,,,2.3.3.1,core,1,cyt,Shw01551a
W3181_1735,,22,,succinate dehydrogenase cytochrome b556 subunit SdhC,sdhC,,TCA cycle,,New Essential,Succinate dehydrogenase cytochrome b-556 subunit,Succinate dehydrogenase,,,,heme b,,,5.A.4.1,1.3.5.1,core,1,IM 3 TM,Shw01552
W3181_1736,,22,,succinate dehydrogenase membrane anchor subunit SdhD,sdhD,,TCA cycle,,,Succinate dehydrogenase hydrophobic membrane anchor protein,Succinate dehydrogenase,,,,,,,,1.3.5.1,core,1,IM 3 TM,Shw01553
W3181_1737,,22,,succinate dehydrogenase flavoprotein subunit SdhA,sdhA,,TCA cycle,,New Essential,Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1),Serine-glyoxylate cycle; <br>Succinate dehydrogenase; <br>TCA Cycle,,,,FAD,,,5.A.4.1,1.3.5.1,core,1,cyt,Shw01554
W3181_1738,,22,,succinate dehydrogenase iron-sulfur protein SdhB,sdhB,,TCA cycle,,New Essential,Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1),Serine-glyoxylate cycle; <br>Succinate dehydrogenase; <br>TCA Cycle,,,,,2Fe-2S 4Fe-4S,,5.A.4.1,1.3.5.1,core,1,cyt,Shw01555
W3181_1739,,22,,2-oxoglutarate dehydrogenase complex dehydrogenase E1 component SucA,sucA,,TCA cycle,,Expected Essential,2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2),Dehydrogenase complexes; <br>TCA Cycle,,,,thiamin (TPP); NAD,,,,1.2.4.2,core,1,cyt,Shw01556
W3181_1740,,22,,2-oxoglutarate dehydrogenase complex succinyl-CoA:dihydrolipoate S-succinyltransferase E2 component SucB,sucB,,TCA cycle,,Expected Essential,Dihydrolipoamide succinyltransferase component (E2) of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61),Dehydrogenase complexes; <br>TCA Cycle,,,,biotin,,,,2.3.1.61,core,1,cyt,Shw01557
W3181_1741,,22,,succinyl-CoA synthase beta subunit SucC,sucC,,TCA cycle,,Dispensable,Succinyl-CoA ligase [ADP-forming] beta chain (EC 6.2.1.5),Serine-glyoxylate cycle; <br>TCA Cycle,,,,,,,,6.2.1.5,core,1,cyt,Shw01558
W3181_1742,,22,,succinyl-CoA synthase alpha subunit SucD,sucD,,TCA cycle,,Unknown,Succinyl-CoA ligase [ADP-forming] alpha chain (EC 6.2.1.5),Serine-glyoxylate cycle; <br>TCA Cycle,,,,ATP,,,,6.2.1.5,core,1,cyt,Shw01559
W3181_1743,,12,,regulator of nucleoside diphosphate kinase Rnk,rnk,,Transcription factors,,Dispensable,Regulator of nucleoside diphosphate kinase,Transcription factors bacterial,,,,,,,,,,1,cyt,Shw01560
W3181_1744,,21,,acteyltransferase GNAT family,,,resistance to antibiotics,,Unknown,Acetyltransferase GNAT family,,,,,,,,,,,1,cyt,Shw01561
W3181_1745,,22,,transcriptional repressor of iron homeostasis Fur,fur,,Iron homeostasis,,Unknown,Ferric uptake regulation protein FUR,Bacterial RNA-metabolizing Zn-dependent hydrolases; <br>Oxidative stress; <br>Transport of Iron,,Fur,,,Zn; FeII,,,,core,1,cyt,Shw01562
W3181_1746,,22,,deacetylase of acetyl-CoA synthetase NAD-dependent CobB,cobB,,Cofactor synth - cobalamin,,Dispensable,NAD-dependent protein deacetylase of SIR2 family,Pyruvate metabolism II: acetyl-CoA acetogenesis from pyruvate,,,,NAD,,,,3.5.1.-,core,1,cyt,Shw01563
W3181_1747,,21,,conserved hypothetical protein,,,,,Dispensable,hypothetical protein,,,,,,,,,,core? (check Sben),1,cyt,Shw01564
W3181_1748,,21,,conserved hypothetical protein,,,,,Dispensable,hypothetical protein,,,,,,,,,,mtr core,1,IM 2 TM,Shw01565
W3181_1749,,22,,"divalent cation (Mg2+, Co2+, Ni2+) transporter CorA",corA,,Transport | uptake - Mg,,Dispensable Unclear In Ecoli,Magnesium and cobalt transport protein CorA,,,,,,,,1.A.35.1,,core,1,IM 2 TM,Shw01566a
W3181_1750,,22,,cyclic di-GMP hydrolase,,,,,Dispensable,HDIG domain protein,,,,,,,,,,core,1,cyt,Shw01567
W3181_1751,,22,,2OG-Fe(II) oxygenase family protein,,,,,Unknown,2OG-Fe(II) oxygenase family enzyme,,,,,,Fe(II),,,,core,1,cyt,Shw01568
W3181_1752,,21,,two component signal transduction system histidine kinase PhoQ,phoQ,,2CP HK - low Mn cationic antimicrobial peptides low pH,,Unknown,Sensor protein PhoQ (EC 2.7.13.3),Lipid A modifications,,,,ATP,,,,2.7.13.3,no Sden,1,IM 3 TM,Shw01569
W3181_1753,,21,,two component signal transduction system response regulator PhoP,phoP,,2CP RR - low Mn cationic antimicrobial peptides low pH,,Dispensable,Transcriptional regulatory protein PhoP,Lipid A modifications,,,,,,,,,no Sden,1,cyt-IM assoc,Shw01570
W3181_1754,,21,,conserved hypothetical protein,,,,,Unknown,hypothetical protein,,,,,,,,,,mtr core,1,IM 3 TM,Shw01571
W3181_1755,,22,,glutamate/aspartate:proton symporter GltP,gltP,,Transport - glutamate,,Dispensable,Sodium:dicarboxylate symporter family protein,,,,,,,,2.A.23,,core,1,IM 8 TM,Shw01572
W3181_1756,,22,,invasin domain protein,,,adhesion,,Dispensable,Invasin domain protein,,,,S08A,,,,,,core,1,LP-surface,Shw01573
W3181_1757,,22,,N-succinylarginine dihydrolase AstB,astB,,Arginine and Ornithine Degradation,ArgR,Dispensable Unclear In Ecoli,Succinylarginine dihydrolase (EC 3.5.3.23),Arginine and Ornithine Degradation,,,,,,,,3.5.3.23,core,1,cyt,Shw02105a
W3181_1758,,22,,DNA topoisomerase I TopA,topA,,,,Expected Essential,DNA topoisomerase I (EC 5.99.1.2),CBSS-272943.3.peg.1367; <br>Conserved gene cluster associated with Met-tRNA formyltransferase,,,,,Zn,,,5.99.1.2,core,1,cyt,Shw02104
W3181_1759,,22,,conserved protein of unknown function,,,,,Dispensable,hypothetical protein,,,,,,,,,,core,1,IM 1 TM,Shw02103
W3181_1760,,22,,transcriptional activator of cys regulon CysB,cysB,,1CP|activator - Cys,,Dispensable,Regulatory protein CysB,,,LysR,,,,,,,core,1,cyt,Shw02102
W3181_1761,,21,22125499,two component signal transduction system response regulator activating acetyl-CoA synthase LuxR family,,,2CP RR - acetyl-CoA synthase (required acetate growth); partner SO_2742,,Dispensable,Transcriptional regulator LuxR family,,,LuxR,,,,,,,no Sden,1,cyt-IM assoc,Shw02101
W3181_1762,,22,,4-hydroxybenzoyl-CoA thioesterase family protein,,,Serine-glyoxylate cycle,,Unknown,cytosolic long-chain acyl-CoA thioester hydrolase family protein,Serine-glyoxylate cycle,,,,,,,,,core,1,cyt,Shw02100
W3181_1763,,22,,phospho-2-dehydro-3-deoxyheptonate aldolase trp-sensitive AroH,aroH,,Common Pathway For Synthesis of Aromatic Compounds (DAHP synthase to chorismate),,Expected Essential,2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54),Chorismate Synthesis; <br>Common Pathway For Synthesis of Aromatic Compounds (DAHP synthase to chorismate),,,,,Cd,,,2.5.1.54,core,1,cyt,Shw02099
W3181_1764,,22,,putative phosphotransferase YdiA,ydiA,,Cofactor synth:thiamin?,,Dispensable,FIG137360: hypothetical protein,A Hypothetical that Clusters with PEP Synthase,,,,,,,,,core,1,cyt,Shw02098
W3181_1765,,22,,phosphoenolpyruvate synthase PpsA,ppsA,,Pyruvate metabolism I: anaplerotic reactions PEP,,Dispensable,Phosphoenolpyruvate synthase (EC 2.7.9.2),A Hypothetical that Clusters with PEP Synthase; <br>Glycolysis and Gluconeogenesis; <br>Glycolysis and Gluconeogenesis including Archaeal enzymes; <br>Pyruvate metabolism I: anaplerotic reactions PEP,,,,ATP,,,,2.7.9.2,core,1,cyt,Shw02097
W3181_1766,,22,,oxidoreductase FAD-binding,,,CPO analysis,,Dispensable,Fe-S protein homolog of lactate dehydrogenase SO1521,CPO analysis,,,,FAD,,,,,core,1,cyt,Shw02096
W3181_1767,,1,,ISSpu9 transposase TnpA_ISSpu9 ,tnpA_ISSpu9,,DNA mobilization - IS element- probably disrupts expression of W3181_1768,,,transposase Tn5 dimerisation subunit,,,,,,,,,,mobile - ISSpu9,1,cyt,tnpa_ISSpu9
W3181_1768,,22,,protein of unknown function DUF1285,,,,,Unknown,hypothetical protein,,,,,,,,,,core,1,cyt,Shw02095
W3181_1769,,22,,transcriptional regulator MarR family,,,Sensory transduction,,Dispensable,Transcriptional regulator MarR family,,,MarR,,,,,,,core,1,cyt,Shw02094
W3181_1770,,22,,hypothetical protein,,,,,Dispensable,hypothetical protein,,,,,,,,,,core,1,IM 1 TM,Shw02093
W3181_1771,,22,22125499,leucine dehydrogenase Ldh,ldh,,Branched-Chain Amino Acid Biosynthesis,,Dispensable,Leucine dehydrogenase (EC 1.4.1.9),Branched-Chain Amino Acid Biosynthesis; <br>HMG-CoA; <br>Leucine Degradation and HMG-CoA Metabolism,,,,NADP,,,,1.4.1.9,core,1,cyt,Shw02092
